epoch,step,train_loss,train_acc,val_acc,psi1,psi2,psi3,psi4
19,20,0.000131,97.62,,1.042304e-02,2.307093e-02,9.962429e-03,7.327472e-03
19,40,0.157327,98.02,,-6.150557e-08,-2.003593e-07,-9.388383e-09,0.000000e+00
19,EPOCH_END,0.049852,98.23,87.94,,,,
20,0,0.007505,100.00,,1.722590e-03,-2.379310e-04,4.781674e-03,-3.080869e-03
20,20,0.003267,98.81,,1.450941e-05,-2.801901e-05,-1.126130e-05,2.068658e-04
20,40,0.006270,98.63,,-2.456959e-03,6.038586e-03,-4.069677e-01,4.796163e-02
20,EPOCH_END,0.073006,98.61,86.93,,,,
21,0,0.001025,100.00,,4.698088e-05,-3.108348e-05,7.865195e-05,4.163336e-05
21,20,0.106234,99.40,,5.118551e-06,-7.261608e-06,-6.135533e-06,-1.873501e-04
21,40,0.000145,99.54,,1.142373e-08,-2.850517e-07,4.676732e-08,8.326419e-05
21,EPOCH_END,0.011917,99.62,87.44,,,,
22,0,0.000087,100.00,,-1.127167e-07,1.765347e-07,-3.673645e-07,-1.249026e-04
22,20,0.077953,99.40,,1.176900e-07,-4.493990e-07,-7.296883e-07,2.081795e-05
22,40,0.052673,98.48,,-2.106950e-03,-1.056562e-02,-2.240213e-02,-5.329071e-02
22,EPOCH_END,0.044570,98.49,84.42,,,,
23,0,0.032499,100.00,,3.035072e-03,4.726348e-02,-7.085209e+00,-1.121083e+02
23,20,0.000022,98.81,,1.723100e-02,6.592020e-03,-9.584811e-02,1.119105e-01
23,40,0.009609,99.24,,2.847043e-04,2.368762e-04,9.753309e-03,-1.998401e-03
23,EPOCH_END,0.037675,98.74,89.45,,,,
24,0,0.000086,100.00,,9.293053e-09,-2.839073e-08,-7.585952e-08,6.245005e-05
24,20,0.000304,98.81,,-2.355234e-06,-4.085020e-06,-6.409780e-07,-8.326673e-05
24,40,0.059502,98.93,,2.280519e-07,-5.794905e-07,-1.133060e-06,2.498027e-04
24,EPOCH_END,0.039759,98.61,90.45,,,,
25,0,0.000121,100.00,,-1.550150e-08,3.863231e-08,-7.008227e-08,-1.873501e-04
25,20,0.002772,97.92,,-4.467423e-06,-1.228508e-06,4.236283e-05,-3.330669e-04
25,40,0.084199,98.02,,2.013592e-04,-3.216890e-04,-1.671354e-04,8.586881e-04
25,EPOCH_END,0.053557,98.36,87.94,,,,
26,0,0.004164,100.00,,-2.707474e-03,-1.106454e-02,-3.809040e-03,3.580469e-03
26,20,0.000159,99.11,,1.249918e-04,-2.392354e-04,-2.000828e-04,-3.115997e-04
26,40,0.001874,98.48,,-2.822793e-05,7.708360e-05,-2.336076e-04,-1.951564e-05
26,EPOCH_END,0.074044,98.11,89.45,,,,
27,0,0.008712,100.00,,-8.250447e-06,-1.330231e-06,-3.009744e-05,-2.704542e-04
27,20,0.002437,99.11,,8.592143e-07,-1.545412e-06,-1.987816e-07,1.249001e-04
27,40,0.023995,99.24,,-8.219071e-05,-2.172332e-04,2.669189e-04,1.444157e-04
27,EPOCH_END,0.052931,98.87,87.44,,,,
28,0,0.000335,100.00,,-9.105956e-07,-1.534784e-06,-2.326349e-06,1.457371e-04
28,20,0.010340,99.11,,-8.379764e-03,5.309794e-03,9.361270e-03,-2.531308e-02
28,40,0.024019,98.78,,8.010263e-07,-3.319017e-05,8.517512e-06,6.245005e-05
28,EPOCH_END,0.049990,98.74,87.44,,,,
29,0,0.000079,100.00,,3.310581e-07,-1.484680e-06,-1.630679e-06,6.245513e-05
29,20,0.002611,98.81,,7.768029e-05,-1.699225e-04,1.206690e-03,-7.285839e-05
29,40,0.000754,98.78,,2.477079e-06,-8.541183e-06,-1.250236e-06,-4.167402e-05
29,EPOCH_END,0.046153,98.99,83.92,,,,
30,0,0.006117,100.00,,-7.705982e-06,-7.672311e-06,1.612780e-06,-8.326673e-05
30,20,0.000066,99.11,,6.850257e-08,7.762810e-09,2.074961e-07,4.163209e-05
30,40,0.003566,98.78,,-1.233795e-07,-3.817812e-08,1.128738e-06,2.914132e-04
30,EPOCH_END,0.047119,98.87,83.92,,,,
